taxon_id	order	scientific_name	massg	diet	realm	gisfrag_high	high_hfp_change_high	high_hfp_change_medium_unsuitable	high_hfp_extent_high	high_hfp_extent_medium_unsuitable	gisfrag_medium_unsuitable	proportion_high	gestation_length	weaning_age	trans_first_last
41335	Eulipotyphla	Crocidura maurisca	14	Omnivore	Afrotropical	2653.588245	14.56189832	5.445433225	64.12405682	88.7675223	2521.643509	83.27108079	28.06429333	27.50759	Low-risk
41336	Eulipotyphla	Crocidura maxi	7.5	Omnivore	Australasian|Indomalayan	706.965172	0.015498269	0.071312918	99.98191869	99.89303062	4608.294504	18.43027847	23.27608933	24.42342	Low-risk
41337	Eulipotyphla	Crocidura monticola	3	Omnivore	Indomalayan	917.2786527	10.41927263	3.5433189	73.53386929	93.38550031	1652.216422	44.65350261	21.23475333	25.356845	Low-risk
41338	Eulipotyphla	Crocidura montis	14.5	Omnivore	Afrotropical	1057.775656	0.186140959	0.569822215	89.87223961	89.51527124	1166.507287	47.54459378	22.76913333	23.98475	Low-risk
41339	Eulipotyphla	Crocidura muricauda	5.5	Omnivore	Afrotropical	966.2752411	1.660235069	0.121910583	96.84221146	99.56884291	1751.597584	39.32081493	21.063281	22.74391	Low-risk
41341	Eulipotyphla	Crocidura nana	7	Omnivore	Afrotropical	554.5781504	0	0	100	100	1096.492857	26.78571429	21.19564933	23.780105	Low-risk
41342	Eulipotyphla	Crocidura nanilla	6.5	Omnivore	Afrotropical	961.6173958	1.515805677	0.944687966	96.15432748	95.74246464	2579.181751	41.92658814	21.45096333	24.402395	Low-risk
41344	Eulipotyphla	Crocidura nigeriae	23	Omnivore	Afrotropical	1123.7367	0	0	99.99430371	99.77599003	1301.219595	54.44680248	36.59850667	27.5851125	Low-risk
41345	Eulipotyphla	Crocidura nigricans	20	Omnivore	Afrotropical	46410.98454	0.280994287		99.62791416			100	25.929	23.363	Low-risk
41346	Eulipotyphla	Crocidura nigrofusca	20	Omnivore	Afrotropical	1132.329443	4.350349585	2.612249225	87.06008111	89.33653836	9405.388564	43.6979495	27.55549	25.10577	Low-risk
41347	Eulipotyphla	Crocidura niobe	16	Omnivore	Afrotropical	961.2102177	0	0.020327269	95.1400758	99.35969103	678.9397848	57.75278036	25.6535	26.41848	Low-risk
41348	Eulipotyphla	Crocidura olivieri	58	Omnivore	Afrotropical	5889.541809	2.977842089	4.409680649	88.05178837	69.5601872	6486.141784	87.80025571	36.44660417	38.5300715	Low-risk
41349	Eulipotyphla	Crocidura parvipes	12.6	Omnivore	Afrotropical	769.581026	1.995842471	7.10969836	84.22626792	77.83529017	26710.47706	18.62500102	21.063281	22.74391	Low-risk
41350	Eulipotyphla	Crocidura pasha	6.5	Omnivore	Afrotropical	1417.021673	0.537296076	3.12056687	98.32444587	78.75198711	2936.851418	49.16678861	21.45096333	24.402395	Low-risk
41352	Eulipotyphla	Crocidura poensis	16.6	Omnivore	Afrotropical	1616.284457	1.286267883	0.240456075	96.95244171	99.16691439	1468.556939	62.54831561	36.62650167	27.9997665	Low-risk
41354	Eulipotyphla	Crocidura rhoditis	14	Omnivore	Australasian	897.4163362	0	0.010788844	100	99.28793627	2309.26379	42.03208456	28.06429333	27.50759	Low-risk
41355	Eulipotyphla	Crocidura roosevelti	7.6	Omnivore	Afrotropical	2538.964016	4.312719949	3.444212141	78.31889272	86.27984131	6174.239469	41.58767984	24.35260933	26.21772	Low-risk
41356	Eulipotyphla	Crocidura sibirica	73	Omnivore	Palearctic	1675.39373	0	0.244929258	55.8935291	60.02236866	19058.45113	35.82061847	36.89073183	29.8338825	Low-risk
41357	Eulipotyphla	Crocidura silacea	8	Omnivore	Afrotropical	796.0433125	0.320833996	0.291702977	96.24632826	97.32972527	524.3076627	68.07499353	22.99217933	24.57767	Low-risk
41358	Eulipotyphla	Crocidura smithii	10.8	Omnivore	Afrotropical	1834.904694	1.929279306	1.1327122	95.52320078	98.50928032	1146.092436	63.55055638	21.063281	22.74391	Low-risk
41359	Eulipotyphla	Crocidura somalica	11.5	Omnivore	Afrotropical	2863.731966	3.081234692	2.414233795	91.39530867	96.92280043	647.0311476	71.75418515	24.01801	23.61185	Low-risk
41360	Eulipotyphla	Crocidura tarella	16.4	Omnivore	Afrotropical	663.0606498	0	0	100	100	1074.24075	32.73849233	21.063281	22.74391	High-risk
41362	Eulipotyphla	Crocidura theresae	17.6	Omnivore	Afrotropical	1363.054268	1.338321699	0.127381418	98.03331994	99.63014694	1557.019565	47.20919783	37.183435	27.6437925	Low-risk
41363	Eulipotyphla	Crocidura turba	14.5	Omnivore	Afrotropical	1285.939992	7.237123546	3.035514651	76.38654586	86.75087926	5421.458983	48.93749347	35.401085	28.0503065	Low-risk
41364	Eulipotyphla	Crocidura viaria	17	Omnivore	Afrotropical	1411.014057	1.694436995	1.477574535	91.63197759	65.77882289	17522.24874	38.19854482	28.34651	27.29855	Low-risk
41365	Eulipotyphla	Crocidura voi	13.4	Omnivore	Afrotropical	1518.374394	1.881499853	1.414105816	90.4549203	90.46304358	2782.90156	48.40166993	21.063281	22.74391	Low-risk
41366	Eulipotyphla	Crocidura whitakeri	5.5	Omnivore	Palearctic	1035.121353	0.522849314	0.910384593	97.80661334	90.37526305	5681.258827	21.46759679	22.287215	25.22967	Low-risk
41367	Eulipotyphla	Crocidura yankariensis	5	Omnivore	Afrotropical	1444.092048	1.656942762	1.415574647	92.22679379	94.38315056	1537.601564	54.38876939	21.71906333	25.989655	Low-risk
41369	Eulipotyphla	Crocidura zarudnyi	6.7	Omnivore	Indomalayan	8630.728719	0.827002159	0.233150314	79.73593378	89.15015517	4332.345206	76.84108689	21.021665	24.475785	Low-risk
41371	Eulipotyphla	Cryptotis goldmani	8	Omnivore	Neotropical	921.0310868	1.922382019	1.277010934	82.48897882	89.04640285	2311.197293	28.40165337	29.619965	25.4882015	Low-risk
41374	Eulipotyphla	Cryptotis mexicana	7	Omnivore	Neotropical	964.5579391	1.310260946	0.421703683	81.4628483	90.43435479	1121.533946	55.78557742	23.688666	23.2012	Low-risk
41375	Eulipotyphla	Cryptotis montivaga	11.3	Invertebrate carnivore	Neotropical	951.5470744	0.89375714	0.72896828	89.55043344	92.89420109	939.3992027	49.48568318	23.990376	24.75753	Low-risk
41376	Eulipotyphla	Cryptotis nigrescens	7	Omnivore	Neotropical	1174.274963	3.458646617	1.614665534	78.11278195	92.40014568	759.1367799	61.60005346	22.9712	23.1205	Low-risk
41377	Eulipotyphla	Cryptotis parva	5	Omnivore	Nearctic|Neotropical	960.2206582	0.151429488	0.040753145	97.55840961	97.48666671	627.5353813	63.62442794	21.99	20.34	Low-risk
41378	Eulipotyphla	Cryptotis squamipes	11	Omnivore	Neotropical	979.9229187	2.283287534	0.539083558	92.58556083	98.23719677	986.8736141	52.13330533	23.82294933	25.48536	Low-risk
41379	Eulipotyphla	Cryptotis thomasi	10	Invertebrate carnivore	Neotropical	875.1433732	2.313546423	2.524504217	97.24505327	96.86573969	1932.074449	27.29932237	24.08072933	25.77197	Low-risk
41380	Eulipotyphla	Myosorex babaulti	17	Omnivore	Afrotropical	890.5462357	0	0.017940438	94.87468107	99.36311446	697.3238474	54.57605409	24.26217	22.95082	Low-risk
41381	Eulipotyphla	Myosorex cafer	13.4	Omnivore	Afrotropical	955.0464881	0.265283814	0.430988386	98.07635908	97.49213954	1999.758229	44.51242309	23.30144	23.29971	Low-risk
41382	Eulipotyphla	Myosorex varius	13.2	Omnivore	Afrotropical	1568.963764	0.16006426	0.244024379	97.3513176	96.98957242	640.5508407	80.28915028	23.99096833	21	Low-risk
41383	Eulipotyphla	Paracrocidura schoutedeni	13	Omnivore	Afrotropical	1726.264393	7.057164898	6.186673824	63.68054843	66.85432463	1221.007704	77.88480144	23.67682433	24.64259	Low-risk
41385	Eulipotyphla	Sorex arcticus	8.2	Omnivore	Nearctic	977.036574	0.287368672	0.039055818	22.53014446	52.63324733	1278.4491	61.39249278	17	26.27779	Low-risk
41386	Eulipotyphla	Sorex asper	7.9	Omnivore	Palearctic	734.1201273	0	0.151795833	96.40401746	91.82686075	3766.127381	35.28413479	21.147	24.437	Low-risk
41387	Eulipotyphla	Sorex bairdi	8.3	Omnivore	Nearctic	1613.125792	0.017644775	0	92.74799732	95.70717839	1077.140343	79.93497339	22.9712	23.12269	Low-risk
41388	Eulipotyphla	Sorex bedfordiae	6.6	Omnivore	Indomalayan|Palearctic	886.3026229	0.855355902	0.203655073	88.45348953	96.9198659	1372.71564	42.80481836	23.04735933	24.24014	Low-risk
41389	Eulipotyphla	Sorex bendirii	16.1	Omnivore	Nearctic	2179.686734	0.041548899	0.022460806	91.62242985	92.23305332	674.7792026	89.09557588	35.71779833	33.5228825	Low-risk
41390	Eulipotyphla	Sorex buchariensis	11.9	Omnivore	Palearctic	317.9825302	1.351351351	5.424847664	86.48648649	87.80678741	11180.85531	0.16579838	20.603	24.298	Low-risk
41391	Eulipotyphla	Sorex camtschatica	4.6	Omnivore	Palearctic	436.6517154	0	0	14.55125402	16.96487821	650.355109	44.10672893	38.08700333	28.4971525	Low-risk
41392	Eulipotyphla	Sorex cinereus	4.7	Omnivore	Nearctic	1224.394576	0.145954254	0.076973728	43.42815014	37.94563351	922.541094	73.31006963	18.11	19.88	Low-risk
41393	Eulipotyphla	Sorex daphaenodon	6.8	Omnivore	Palearctic	1747.027626	0	0	26.67314782	64.86666089	11423.77466	67.13023685	20.886731	22.79236	Low-risk
41394	Eulipotyphla	Sorex dispar	5	Omnivore	Nearctic	1597.282095	0	0	91.06802863	96.8632539	450.1748538	84.26974242	22.99158333	25.64154	Low-risk
41395	Eulipotyphla	Sorex emarginatus	7	Omnivore	Neotropical	1162.08509	4.302249399	1.691153964	64.11880323	85.043618	5302.547245	14.95492855	21.19564933	23.780105	Low-risk
41396	Eulipotyphla	Sorex fumeus	7.7	Omnivore	Nearctic	1324.080967	0	0	83.30610929	93.11293494	960.8337637	73.95089809	21	26.100435	Low-risk
41398	Eulipotyphla	Sorex gracillimus	4.5	Omnivore	Palearctic	1950.924444	0	0	35.67668843	67.26530453	698.9099769	81.33735241	22.98037833	26.52871	Low-risk
41399	Eulipotyphla	Sorex haydeni	3.5	Omnivore	Nearctic	400.2717388	0	0.003553936	99.73060506	98.80719369	748.0037533	34.51546988	20.5	23.912215	Low-risk
41400	Eulipotyphla	Sorex hoyi	2.6	Omnivore	Nearctic	1061.939709	0.223894184	0.082450224	37.37607212	31.79768712	2069.123674	55.02747345	36.94246667	38.85478483	Low-risk
